,index,id,name,images,imageAlt,tax,businessUnit,showSexualContent,productGroupId,hasReviewPhoto,cardType,sections,variants,categoryHierarchy,categoryId,categoryName,url,merchantId,campaignId,promotions,rushDeliveryDuration,freeCargo,campaignName,listingId,winnerVariant,itemNumber,discountedPriceInfo,hasVideoContent,hasCrossPromotion,hasCollectableCoupon,sameDayShipping,lowestPriceDuration,isLegalRequirementConfirmed,badges,brand.id,brand.name,ratingScore.averageRating,ratingScore.totalCount,price.sellingPrice,price.originalPrice,price.discountedPrice,price.buyingPrice,stamps,collectableCouponDiscount
128,8,444408858,Desenli Yılbaşı Ağacı Dekoratif Mum - Kokulu Vegan Soya Wax Mumu 1 Adet,"['/ty619/product/media/images/20221202/9/225774571/637217981/1/1_org_zoom.jpg', '/ty620/product/media/images/20221202/9/225774571/637217981/2/2_org_zoom.jpg']",Cageartstudio Desenli Yılbaşı Ağacı Dekoratif Mum - Kokulu Vegan Soya Wax Mumu 1 Adet,18,Ev Dekorasyon,True,319616796,True,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 79, 'buyingPrice': 0, 'originalPrice': 79, 'sellingPrice': 79}, 'listingId': '063670fa780dd2f6fa9e77a58edb95f3', 'campaignId': 61, 'merchantId': 321449, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/cageartstudio/desenli-yilbasi-agaci-dekoratif-mum-kokulu-vegan-soya-wax-mumu-1-adet-p-444408858?boutiqueId=61&merchantId=321449,321449,61,[],0,False,Tüm Ürünler,063670fa780dd2f6fa9e77a58edb95f3,Tek Ebat,637217981,,False,False,False,False,,False,[],151639,Cageartstudio,5.0,9.0,79.0,79.0,79.0,0,,
129,9,664881386,"Çilek Kokulu El Yapımı %100 Doğal& Vegan Ve Soya Mum | Meditasyon ,çakra ,hediyelik","['/ty767/product/media/images/20230307/9/298325965/879687114/1/1_org_zoom.jpg', '/ty766/product/media/images/20230307/9/298325965/879687114/2/2_org_zoom.jpg', '/ty765/product/media/images/20230307/9/298325965/879687114/3/3_org_zoom.jpg']","yarence design Çilek Kokulu El Yapımı %100 Doğal& Vegan Ve Soya Mum | Meditasyon ,çakra ,hediyelik",18,Ev Dekorasyon,True,516297995,False,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 109.9, 'buyingPrice': 0, 'originalPrice': 49.99, 'sellingPrice': 109.9}, 'listingId': 'a5aec0854015d4e6f62ca3914a5c4a83', 'campaignId': 61, 'merchantId': 784504, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False, 'lowestPriceDuration': 7}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/yarence-design/cilek-kokulu-el-yapimi-100-dogal-vegan-ve-soya-mum-meditasyon-cakra-hediyelik-p-664881386?boutiqueId=61&merchantId=784504,784504,61,"[{'id': 6831622, 'name': '3 Al 2 Öde', 'shortName': '3 Al 2 Öde', 'promotionEndDate': '2023-04-15T23:59:00'}]",0,True,Tüm Ürünler,a5aec0854015d4e6f62ca3914a5c4a83,Tek Ebat,879687114,,False,False,False,False,7.0,False,"[{'title': '3 Al 2 Öde', 'type': 'TAKE_MORE_PAY_LESS'}, {'title': 'Kargo Bedava', 'type': 'FREE_CARGO'}]",1827728,yarence design,,,109.9,49.99,109.9,0,,
130,10,382055893,Dekoratif Beton Saksı Içinde Kokulu Vegan Mum,"['/ty593/product/media/images/20221108/13/209989880/617065786/1/1_org_zoom.jpg', '/ty593/product/media/images/20221108/13/209989880/617065786/2/2_org_zoom.jpg', '/ty593/product/media/images/20221108/13/209989880/617065786/3/3_org_zoom.jpg', '/ty592/product/media/images/20221108/13/209989880/617065786/4/4_org_zoom.jpg']",ersustore Dekoratif Beton Saksı Içinde Kokulu Vegan Mum,18,Ev Dekorasyon,True,283887392,True,PRODUCT,"[{'id': '7'}, {'id': '101400'}, {'id': '12'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 89, 'buyingPrice': 0, 'originalPrice': 58.57, 'sellingPrice': 89}, 'listingId': '77eb23d657d1ca4a4b501350d00792e0', 'campaignId': 61, 'merchantId': 317467, 'discountedPriceInfo': '', 'hasCollectableCoupon': True, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/ersustore/dekoratif-beton-saksi-icinde-kokulu-vegan-mum-p-382055893?boutiqueId=61&merchantId=317467,317467,61,[],24,False,Tüm Ürünler,77eb23d657d1ca4a4b501350d00792e0,Tek Ebat,617065786,,False,True,True,False,,False,"[{'title': 'Kupon Fırsatı', 'type': 'COLLECTABLE_COUPON'}, {'title': 'Hızlı Teslimat', 'type': 'RUSH_DELIVERY'}, {'title': 'Birlikte Al Kazan', 'type': 'CROSS_PROMOTION'}]",152571,ersustore,4.0,3.0,89.0,58.57,89.0,0,,
131,11,639353110,Lumıère Candle 3'lü Sarmal Dalga Soya Mum Seti %100 Doğal Vegan Dekoratif Özel Kokulu Mum,"['/ty709/product/media/images/20230130/13/270037416/844880065/1/1_org_zoom.jpg', '/ty710/product/media/images/20230130/13/270037416/844880065/2/2_org_zoom.jpg']",LUMIERE DE LA VİE CANDLE Lumıère Candle 3'lü Sarmal Dalga Soya Mum Seti %100 Doğal Vegan Dekoratif Özel Kokulu Mum,18,Ev Dekorasyon,True,500791895,False,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 390, 'buyingPrice': 0, 'originalPrice': 370, 'sellingPrice': 390}, 'listingId': 'bd26b6564a5a88d276b6b31fe393a688', 'campaignId': 61, 'merchantId': 766429, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/lumiere-de-la-vie-candle/lumiere-candle-3-lu-sarmal-dalga-soya-mum-seti-100-dogal-vegan-dekoratif-ozel-kokulu-mum-p-639353110?boutiqueId=61&merchantId=766429,766429,61,[],0,True,Tüm Ürünler,bd26b6564a5a88d276b6b31fe393a688,Tek Ebat,844880065,,False,False,False,False,,False,"[{'title': 'Kargo Bedava', 'type': 'FREE_CARGO'}]",1804257,LUMIERE DE LA VİE CANDLE,,,390.0,370.0,390.0,0,,
132,12,221764160,Kakao&kahve&vanilya Esanslı Vegan Cam Bardak Mum,"['/ty294/product/media/images/20220114/23/26782719/358965038/1/1_org_zoom.jpg', '/ty295/product/media/images/20220114/23/26782719/358965038/2/2_org_zoom.jpg', '/ty294/product/media/images/20220114/23/26782719/358965038/3/3_org_zoom.jpg']",Odilia Kakao&kahve&vanilya Esanslı Vegan Cam Bardak Mum,18,Ev Dekorasyon,True,193232331,True,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 54.9, 'buyingPrice': 0, 'originalPrice': 42.69, 'sellingPrice': 54.9}, 'listingId': '25fbc6c84926b10fab8afa04d7a7f712', 'campaignId': 61, 'merchantId': 411938, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/odilia/kakao-kahve-vanilya-esansli-vegan-cam-bardak-mum-p-221764160?boutiqueId=61&merchantId=411938,411938,61,[],0,False,Tüm Ürünler,25fbc6c84926b10fab8afa04d7a7f712,Tek Ebat,358965038,,False,False,False,False,,False,[],1318595,Odilia,3.6666666666666665,3.0,54.9,42.69,54.9,0,,
133,13,443970181,Dekoratif Modern Desenli Büyük Boy Mum - Kokulu Vegan Soya Wax Mumu 1 Adet,"['/ty617/product/media/images/20221201/3/225144732/636454126/1/1_org_zoom.jpg', '/ty617/product/media/images/20221201/3/225144732/636454126/2/2_org_zoom.jpg']",Cageartstudio Dekoratif Modern Desenli Büyük Boy Mum - Kokulu Vegan Soya Wax Mumu 1 Adet,18,Ev Dekorasyon,True,319227876,False,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 142, 'buyingPrice': 0, 'originalPrice': 142, 'sellingPrice': 142}, 'listingId': '748771fbfef8cf5254c51843af618629', 'campaignId': 61, 'merchantId': 321449, 'discountedPriceInfo': '', 'hasCollectableCoupon': False, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/cageartstudio/dekoratif-modern-desenli-buyuk-boy-mum-kokulu-vegan-soya-wax-mumu-1-adet-p-443970181?boutiqueId=61&merchantId=321449,321449,61,[],0,True,Tüm Ürünler,748771fbfef8cf5254c51843af618629,Tek Ebat,636454126,,False,False,False,False,,False,"[{'title': 'Kargo Bedava', 'type': 'FREE_CARGO'}]",151639,Cageartstudio,4.666666666666667,3.0,142.0,142.0,142.0,0,,
134,14,290780776,Buhurdanlık Koku Tableti %100 Soya Wax Vegan Wax Melts Buhurdanlık Mumu,['/ty415/product/media/images/20220502/15/100996400/464539022/1/1_org_zoom.jpg'],SillageCandle Buhurdanlık Koku Tableti %100 Soya Wax Vegan Wax Melts Buhurdanlık Mumu,18,Ev Dekorasyon,True,245247868,True,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 99.99, 'buyingPrice': 0, 'originalPrice': 92.91, 'sellingPrice': 99.99}, 'listingId': '10d539ed25c49ad993e948566fdae1ab', 'campaignId': 61, 'merchantId': 456966, 'discountedPriceInfo': '', 'hasCollectableCoupon': True, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/sillagecandle/buhurdanlik-koku-tableti-100-soya-wax-vegan-wax-melts-buhurdanlik-mumu-p-290780776?boutiqueId=61&merchantId=456966,456966,61,[],0,False,Tüm Ürünler,10d539ed25c49ad993e948566fdae1ab,Tek Ebat,464539022,,False,True,True,False,,False,"[{'title': 'Kupon Fırsatı', 'type': 'COLLECTABLE_COUPON'}, {'title': 'Birlikte Al Kazan', 'type': 'CROSS_PROMOTION'}]",152546,SillageCandle,4.25,8.0,99.99,92.91,99.99,0,,
135,15,669593635,Scorching Vanilya Kavanoz Vegan Mum,"['/ty779/product/media/images/20230314/9/303192551/885653102/1/1_org_zoom.jpg', '/ty778/product/media/images/20230314/9/303192551/885653102/2/2_org_zoom.jpg']",MONSİEURCANDLE Scorching Vanilya Kavanoz Vegan Mum,18,Ev Dekorasyon,True,519392619,True,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 149, 'buyingPrice': 0, 'originalPrice': 110, 'sellingPrice': 149}, 'listingId': 'a159da089a7b19bd08b165fc2e19c13d', 'campaignId': 61, 'merchantId': 786188, 'discountedPriceInfo': '', 'hasCollectableCoupon': True, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/monsieurcandle/scorching-vanilya-kavanoz-vegan-mum-p-669593635?boutiqueId=61&merchantId=786188,786188,61,"[{'id': 6964147, 'name': ""300 TL'ye 15 TL İndirim"", 'shortName': 'Çok Al Az Öde', 'promotionEndDate': '2023-04-03T23:59:00'}]",0,True,Tüm Ürünler,a159da089a7b19bd08b165fc2e19c13d,Tek Ebat,885653102,,False,False,True,False,,False,"[{'title': 'Kupon Fırsatı', 'type': 'COLLECTABLE_COUPON'}, {'title': 'Çok Al Az Öde', 'type': 'TAKE_MORE_PAY_LESS'}, {'title': 'Kargo Bedava', 'type': 'FREE_CARGO'}]",1833489,MONSİEURCANDLE,5.0,1.0,149.0,110.0,149.0,0,,
136,16,665021957,%100 Natürel Soya Wax Vegan Organik Mum Yapımı Için Kalıp Şeklinde Doğal Kokulu Wax 1 kg,"['/ty765/product/media/images/20230307/16/298497273/879885592/1/1_org_zoom.jpg', '/ty767/product/media/images/20230307/16/298497273/879885592/2/2_org_zoom.jpg', '/ty765/product/media/images/20230307/16/298497273/879885592/3/3_org_zoom.jpg', '/ty767/product/media/images/20230307/16/298497273/879885592/4/4_org_zoom.jpg']",Trend Mum %100 Natürel Soya Wax Vegan Organik Mum Yapımı Için Kalıp Şeklinde Doğal Kokulu Wax 1 kg,18,Ev Dekorasyon,True,516420937,False,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 159.99, 'buyingPrice': 0, 'originalPrice': 148.79, 'sellingPrice': 159.99}, 'listingId': '3224f041d085f30d3c64ca290334ccff', 'campaignId': 61, 'merchantId': 599547, 'discountedPriceInfo': '', 'hasCollectableCoupon': True, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/trend-mum/100-naturel-soya-wax-vegan-organik-mum-yapimi-icin-kalip-seklinde-dogal-kokulu-wax-1-kg-p-665021957?boutiqueId=61&merchantId=599547,599547,61,"[{'id': 6955686, 'name': '2 Adet ve Üzeri 10 TL İndirim', 'shortName': 'Çok Al Az Öde', 'promotionEndDate': '2023-04-30T23:59:00'}]",24,True,Tüm Ürünler,3224f041d085f30d3c64ca290334ccff,Tek Ebat,879885592,,False,False,True,False,,False,"[{'title': 'Kupon Fırsatı', 'type': 'COLLECTABLE_COUPON'}, {'title': 'Çok Al Az Öde', 'type': 'TAKE_MORE_PAY_LESS'}, {'title': 'Hızlı Teslimat', 'type': 'RUSH_DELIVERY'}, {'title': 'Kargo Bedava', 'type': 'FREE_CARGO'}]",152578,Trend Mum,,,159.99,148.79,159.99,0,,
137,17,290775536,Buhurdanlık Koku Tableti %100 Soya Wax Vegan Wax Melts Buhurdanlık Mumu,"['/ty414/product/media/images/20220502/15/100990719/464531518/1/1_org_zoom.jpg', '/ty415/product/media/images/20220502/15/100990719/464531518/2/2_org_zoom.jpg', '/ty416/product/media/images/20220502/15/100990719/464531518/3/3_org_zoom.jpg']",SillageCandle Buhurdanlık Koku Tableti %100 Soya Wax Vegan Wax Melts Buhurdanlık Mumu,18,Ev Dekorasyon,True,245247868,True,PRODUCT,"[{'id': '12'}, {'id': '7'}, {'id': '101400'}]","[{'attributeValue': 'Tek Ebat', 'attributeName': 'beden', 'price': {'discountedPrice': 99.9, 'buyingPrice': 0, 'originalPrice': 99.9, 'sellingPrice': 99.9}, 'listingId': '4aac138189717064258e94e653b57a6d', 'campaignId': 61, 'merchantId': 456966, 'discountedPriceInfo': '', 'hasCollectableCoupon': True, 'sameDayShipping': False}]",Ev/Mum & Kandil/Ev & Mobilya/Ev Dekorasyon,1880,Mum & Kandil,/sillagecandle/buhurdanlik-koku-tableti-100-soya-wax-vegan-wax-melts-buhurdanlik-mumu-p-290775536?boutiqueId=61&merchantId=456966,456966,61,[],0,False,Tüm Ürünler,4aac138189717064258e94e653b57a6d,Tek Ebat,464531518,,False,True,True,False,,False,"[{'title': 'Kupon Fırsatı', 'type': 'COLLECTABLE_COUPON'}, {'title': 'Birlikte Al Kazan', 'type': 'CROSS_PROMOTION'}]",152546,SillageCandle,5.0,9.0,99.9,99.9,99.9,0,,
